strTaxClas,ID,strITIScode,strElCode,strGName,strSComNam,strGRank,strGRank2,strSRankAZ,strSRankAZ2,strSRankCO,strSRankCO2,strSRankNM,strSRankNM2,strSRankNV,strSRankNV2,strSRankUT,strSRankUT2,strUSESA,strSProtAZ,strSProtCO,strSProtNM,strSProtNV,strSProtUT,strSGCNAZ,strSGCNCO,strSGCNNV,strSGCNNM,strSGCNUT,strPIF09,strPIF10,strPIF16,strPIF18,strPIF33,strPIF34,strPIF35,strSWReGAPmodel
AMPHIBIA,647,173429,AAABF01020,"Scaphiopus couchii","COUCH'S SPADEFOOT",G5,,S5,,S1,S1,,,S5,,,,,,SC,,,,1,1,,,,,,,,,,,1
AMPHIBIA,619,173438,AAABH01090,"Rana clamitans","GREEN FROG",G5,,,,,,,,,,SNA,,,,,,,,,,,,,,,,,,,,1
AMPHIBIA,626,173440,AAABH01200,"Rana sylvatica","WOOD FROG",G5,,,,S3,S3,,,,,,,,,SC,,,,,1,,,,,,,,,,,1
AMPHIBIA,617,173441,AAABH01070,"Rana catesbeiana",BULLFROG,G5,,SNA,,SNA,,SNA,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,1
AMPHIBIA,623,173443,AAABH01170,"Rana pipiens","NORTHERN LEOPARD FROG",G5,,S2,S2,S3,S3,S1,S1,S2S3,S2S3,S3S4,S3S4,,WSC,SC,,P,,1,1,,,1,,,,,,,,1
AMPHIBIA,614,173446,AAABH01020,"Rana aurora","RED-LEGGED FROG",G4,,,,,,,,SNA,,,,PS,,,,,,,,,,,,,,,,,,1
AMPHIBIA,615,173447,AAABH01030,"Rana berlandieri","RIO GRANDE LEOPARD FROG",G5,,SNA,,,,S3,S3,,,,,,,,,,,,,,1,,,,,,,,,1
AMPHIBIA,616,173448,AAABH01040,"Rana blairi","PLAINS LEOPARD FROG",G5,,S1,S1,S3,S3,S4,,,,,,,WSC,SC,,,,1,1,,1,,,,,,,,,1
AMPHIBIA,618,173451,AAABH01080,"Rana chiricahuensis","CHIRICAHUA LEOPARD FROG",G3,G3,S3,S3,,,S1,S1,,,,,T,WSC,,S,,,1,,,1,,,,,,,,,1
AMPHIBIA,621,173454,AAABH01140,"Rana muscosa","MOUNTAIN YELLOW-LEGGED FROG",G2,G2,,,,,,,SH,,,,C,,,,,,,,,,,,,,,,,,1
AMPHIBIA,622,173457,AAABH01150,"Rana onca","RELICT LEOPARD FROG",G1G2,G1G2,SU,,,,,,S1,S1,SX,,C,WSC,,,P,,1,,1,,1,,,,,,,,1
AMPHIBIA,624,173458,AAABH01180,"Rana pretiosa","SPOTTED FROG",G2,G2,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,0
AMPHIBIA,627,173461,AAABH01210,"Rana tarahumarae","TARAHUMARA FROG",G3,G3,"SX, S1","SX, S1",,,,,,,,,,WSC,,,,,1,,,,,,,,,,,,0
AMPHIBIA,628,173462,AAABH01250,"Rana yavapaiensis","YAVAPAI LEOPARD FROG",G4,,S4,,,,S1,S1,,,,,,WSC,,E,,,1,,,1,,,,,,,,,1
AMPHIBIA,321,173468,AAABE01020,"Gastrophryne olivacea","GREAT PLAINS NARROWMOUTH TOAD",G5,,S3,S3,S1,S1,S1,S1,S2,S2,,,,WSC,SC,E,,,1,1,,1,,,,,,,,,1
AMPHIBIA,100,173476,AAABB01180,"Bufo woodhousii","WOODHOUSE'S TOAD",G5,,S5,,S5,,S5,,S5,,S5,,,,,,,,,,,,,,,,,,,,1
AMPHIBIA,91,173481,AAABB01010,"Bufo alvarius","COLORADO RIVER TOAD",G5,,S5,,,,S2,S2,,,,,,,,T,,,,,,1,,,,,,,,,1
AMPHIBIA,92,173482,AAABB01030,"Bufo boreas","WESTERN TOAD",G4,,,,S1,S1,SH,,S4,,S2S3,S2S3,C,,SE,E,,WSC,,1,,2,1,,,,,,,,1
AMPHIBIA,93,173484,AAABB01050,"Bufo cognatus","GREAT PLAINS TOAD",G5,,S5,,S4,,S5,,S2,S2,SH,,,,,,,,,,,,1,,,,,,,,1
AMPHIBIA,94,173485,AAABB01060,"Bufo debilis","GREEN TOAD",G5,,S3,S3,S2,S2,S4,,,,,,,,,,,,1,1,,,,,,,,,,,1
AMPHIBIA,95,173490,AAABB01110,"Bufo microscaphus","SOUTHWESTERN TOAD",G3G4,G3G4,S3S4,S3S4,,,S2,S2,S2,S2,S2S3,S2S3,,,,S,,WSC,1,,1,2,1,,,,,,,,1
AMPHIBIA,97,173491,AAABB01120,"Bufo punctatus","RED-SPOTTED TOAD",G5,,S5,,S4,,S5,,S5,,S4,,,,,,,,1,,,,,,,,,,,,1
AMPHIBIA,98,173492,AAABB01140,"Bufo retiformis","SONORAN GREEN TOAD",G3G4,G3G4,S3,S3,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
AMPHIBIA,99,173493,AAABB01150,"Bufo speciosus","TEXAS TOAD",G5,,,,,,S3,S3,,,,,,,,,,,,,,,,,,,,,,,1
AMPHIBIA,349,173510,AAABC02020,"Hyla arenicolor","CANYON TREEFROG",G5,,S5,,S2,S2,S4,,,,S3,S3,,,,,,,1,1,,,1,,,,,,,,1
AMPHIBIA,350,173513,AAABC02080,"Hyla eximia","MOUNTAIN TREEFROG",G4,,S4,,,,S3,S3,,,,,,,,,,,,,,1,,,,,,,,,1
AMPHIBIA,4,173520,AAABC01010,"Acris crepitans","NORTHERN CRICKET FROG",G5,,,,SH,,S4,,,,,,,,SC,,,,,1,,,,,,,,,,,1
AMPHIBIA,605,173525,AAABC05070,"Pseudacris triseriata","WESTERN CHORUS FROG",G5,,S5,,S5,,S5,,,,,,,,,,,,1,,,1,,,,,,,,,0
AMPHIBIA,607,173534,AAABC06010,"Pternohyla fodiens","LOWLAND BURROWING TREEFROG",G4,,S1S2,S1S2,,,,,,,,,,WSC,,,,,1,,,,,,,,,,,,1
AMPHIBIA,831,173549,AAABG01010,"Xenopus laevis","AFRICAN CLAWED FROG",G5,,SNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
AMPHIBIA,23,173592,AAAAA01140,"Ambystoma tigrinum","TIGER SALAMANDER",G5,,S5,,S5,,S5,,SNA,,S4,,SUB-E,WSC,,,,,2,,,1,,,,,,,,,1
AMPHIBIA,585,173663,AAAAD12110,"Plethodon neomexicanus","JEMEZ MOUNTAINS SALAMANDER",G2,G2,,,,,S2,S2,,,,,,,,T,,,,,,1,,,,,,,,,1
AMPHIBIA,43,173702,AAAAD01040,"Aneides hardii","SACRAMENTO MOUNTAIN SALAMANDER",G3,G3,,,,,S3,S3,,,,,,,,T,,,,,,1,,,,,,,,,1
REPTILIA,176,173752,ARAAB01010,"Chelydra serpentina","SNAPPING TURTLE",G5,,SNA,,S4,,S5,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,1
REPTILIA,367,173766,ARAAE01020,"Kinosternon flavescens","YELLOW MUD TURTLE",G5,,S1,S1,S1,S1,S4,,,,,,,,SC,,,,1,1,,,,,,,,,,,1
REPTILIA,368,173768,ARAAE01040,"Kinosternon sonoriense","SONORAN MUD TURTLE",G4,,S4,,,,S3,S3,SNA,,,,,,,,,,2,,,,,,,,,,,,1
REPTILIA,194,173774,ARAAD02030,"Clemmys marmorata","WESTERN POND TURTLE",G3G4,G3G4,,,,,,,S3,S3,,,,,,,,,,,1,,,,,,,,,,1
